Organization Name,Organization Name URL,Number of Employees,Industries,Last Funding Type,Contact Job Departments,IPqwery - Patents Granted,Number of Investments,IPO Status,IPqwery - Total Patents,Closed Date,Closed Date Precision,Headquarters Location,Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Description,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Hub Tags,Number of Articles,Full Description,Actively Hiring,Announced Date,Announced Date Precision
ZEON Network,https://www.crunchbase.com/organization/zeon-network,11-50,"Banking, Cryptocurrency, Finance, Financial Services, FinTech, Lending",Initial Coin Offering,,,,Private,,,,"London, England, United Kingdom",,,$1M to $10M,ZEON Network is a decentralized platform for financial services.,2017-11-01,month,Active,,,For Profit,https://zeonc.com,https://bit.ly/ze0ntwitter,,https://www.linkedin.com/company/zeon-coin,info@zeon.network,,,,"ZEON Network is a blockchain system for financial services such as buying and selling digital assets, deposits, loans with cryptocurrency backing, and wallets. They offer a free, discreet, quick, secure application called their wallet that lets users manage all of their assets and access financial services.",,,
Zamna,https://www.crunchbase.com/organization/vchain-technology,11-50,"Blockchain, Identity Management, SaaS, Software",Seed,"Management, Operations",,,Private,,,,"London, England, United Kingdom",,,,Award-winning blockchain-powered data verification platform improving airport security while delivering a seamless passenger experience,2016-01-08,day,Active,,,For Profit,https://zamna.com,,,,hello@zamna.com,,,15,"Zamna is an award-winning VC-backed software company building GDPR compliant identity platforms for the aviation industry. Zamna empowers airlines to verify a passenger’s identity prior to arriving at an airport thus positively impacting both passenger experience and security and facilitation. Recognised by airlines, technology experts and investors as playing an integral part in the future of identity management within airlines, Zamna addresses the conflicting challenges posed by ever increasing numbers of airline passengers (estimated as 4.4 billion in 2018), growing privacy regulations, demand for better customer experience and increased security.",,,
Yoocollab,https://www.crunchbase.com/organization/yoocollab,11-50,"Blockchain, Outsourcing, Software",,,,,Private,,,,"Waltham Cross, Hertford, United Kingdom",,,,Yoocollab is a software development and outsourcing company.,2019-01-01,year,Active,,,For Profit,https://yoocollab.com/,https://www.twitter.com/https://twitter.com/Yoocollab1,https://www.facebook.com/Yoocollab,https://www.linkedin.com/company/yoocollab,info@yooteams.com,+44 20 7099 9469,,,"Yoocollab provides software development, QA, and software testing, UX/UI design, blockchain, smart contract, and application development, and IT support services. They understand the digital transformation market and are committed to fulfilling each client’s needs.",,,
Yoello,https://www.crunchbase.com/organization/yoello,11-50,"Banking, Blockchain, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments",Series A,"Engineering, Finance, Management, Operations, Product, Sales",,,Private,,,,"Cardiff, Cardiff, United Kingdom",,,,Yoello is a payments platform building infrastructure that connects banks and payment networks to merchants consumers.,2018-09-30,day,Active,,,For Profit,https://yoello.com,https://twitter.com/YoelloPay,https://www.facebook.com/yoellopay,https://www.linkedin.com/company/10904722/admin/,hello@yoello.com,,,5,"Yoello is a payments platform building infrastructure that connects banks and payment networks to merchants' consumers. It allows its users to order and pay for food and drink safely from their table with no staff contact, no physical menus, no cash, and no queues. The company was founded in 2017 and is based in Cardiff, United Kingdom.",,,
Yellow Melon,https://www.crunchbase.com/organization/yellow-melon,1-10,"Apps, Blockchain",,,,,Private,,,,"London, England, United Kingdom",,,Less than $1M,"Yellow Melon Ltd. is run by James Drummond, an enthusiastic senior developer with a background working in finance for clients.",2012-01-01,day,Active,,,For Profit,http://yellowmelon.co,,,https://www.linkedin.com/in/yellowmelon/,james@smoothbook.co,,,,,,,
YaMarkets,https://www.crunchbase.com/organization/yamarkets,11-50,"Cryptocurrency, Financial Exchanges, Financial Services, Trading Platform",,,,,Private,,,,"Kingstown, Cumbria, United Kingdom",,,$1M to $10M,"YaMarkets is an online brokerage firm that offers a trading platform for cryptocurrencies, forex, commodities, and indices.",2016-01-01,year,Active,,,For Profit,https://yamarkets.com,https://twitter.com/markets_ya,https://www.facebook.com/yamarkets.official,https://www.linkedin.com/company/yamarketslimited,info@yamarkets.com,+357 22030234,,,,,,
Y Coin,https://www.crunchbase.com/organization/ycoin,11-50,"Blockchain, Cryptocurrency, Financial Exchanges",Venture - Series Unknown,,,,Private,,,,"London, England, United Kingdom",,,,Y Coin is a transfer and payment cryptocurrency which uses Democratic Governance.,2021-01-23,day,Active,,,For Profit,https://www.ycoin.co.uk,https://twitter.com/_Ycoin,,,info@ycoin.co.uk,,,5,"Y Coin is a transfer and payment coin using a new democratic governance model. Currently in cryptocurrency when people vote using the current governance model it’s unfair as it favours the  biggest coin holders  due to voting power being dictated by your stake in the coin. However with Y Coins democratic governance model this is not the case. Each person will get a single vote regardless of their stake in the coin. Y Coin has a IOS, Android and Desktop application releasing soon called the Y HUB. We have multiple sections where users can interact with the coin in different ways.",,,
Xworks Tech,https://www.crunchbase.com/organization/xworks,1-10,"Artificial Intelligence, Blockchain, Cloud Computing, GreenTech, Quality Assurance, Social Impact, Sustainability, Waste Management",Seed,,,,Private,,,,"London, England, United Kingdom",,,,Xworks is the end-to-end compliance provider using AI & blockchain digitising & minimising waste while providing circular procurement,2020-07-20,day,Active,,,For Profit,https://xworkstech.com,https://twitter.com/TechXworks,,https://www.linkedin.com/company/xworks-tech,accounts@xworkstech.com,+442045384245,,,"The time when the waste industry was just about that –waste – is long gone. Now it is all about sustainable resources and developing the necessary means to capture and put to good use as much as possible of the waste stream that are in line with compliant guidelines. Xworks solves this by offering end-to-end compliance using blockchain-powered tracking that digitise waste streams, and make them available to buyers, sellers and auditors. We are blazing the way forward on compliance, becoming the authoritative source for best practices, opening new markets for supply, demand and big data.",,,
Xriba,https://www.crunchbase.com/organization/xriba,11-50,"Blockchain, Information Technology",Initial Coin Offering,Finance,,,Private,,,,"London, England, United Kingdom",,,$1M to $10M,Xriba is the first protocol and API layer to link the decentralized payment service to business accounting.,2018-01-01,year,Active,,,For Profit,https://xriba.com/,,,https://www.linkedin.com/company/xriba/,info@xriba.com,,,,"Xriba is the first protocol to add transparency to corporate cash flows, making them available on the public Blockchain.The Xriba protocol is creating a decentralized method for saving, archiving and querying financial transaction records. The protocol records financial transaction records on a public decentralized ledger where accounts can be stored and queried, and also includes an open API allowing third-parties to build their own accounting applications or tools.",,,
XPmarket,https://www.crunchbase.com/organization/stem-nft,1-10,"Apps, Blockchain, Cryptocurrency, Software",Seed,,,,Private,,,,"London, England, United Kingdom",,,,Building infrastructure for XRP Ledger.,2021-04-09,day,Active,,,For Profit,https://xpmarket.com/,https://twitter.com/xpmarket,,https://www.linkedin.com/company/xpmarket,artur@xpmarket.io,,,,"Blockchain-based services and tools should be intuitive and easy to use. XPmarket is designing a one-stop ecosystem to unleash the full potential of XRP Ledger. Our tools combine blockchain information and big data analysis wrapped into a user-friendly environment, allowing anyone to have a detailed overview of XRPL's ecosystem. We are also integrating key infrastructure elements directly into XPmarket that are both familiar for a novice blockchain user and advanced enough for the most sophisticated members. As a result, our aim is to have the whole XRPL world at the community's fingertips. We see XPmarket as a key infrastructure element with a significant positive impact on the whole community. By utilising our platform, users can inspect any token and its key parameters, while also receiving notifications on suspicious activities. Simply by connecting the wallet to the platform, users can track the performance and status of their tokens via a specifically designed dashboard. At the same time, every project gets its own token page on XPmarket, as the process is fully automated, where no slow and time-consuming applications are required. We heavily rely on the community's feedback and our experience, hence there is a whole pipeline of products planned focused on traders, teams looking to raise funds, artists, and many more.  Stay with us. Follow us. Lets build together.",,,
XeonTek,https://www.crunchbase.com/organization/xeontek,1-10,"Blockchain, Software, Web Development",,,,,Private,,,,"London, England, United Kingdom",,,,XeonTek simplifies the business and development processes with the power of Blockchain.,2013-01-01,year,Active,,,For Profit,https://www.xeontek.com,https://www.twitter.com/xeontek,https://www.facebook.com/xeontek,https://www.linkedin.com/company/xeontek/,enquiries@xeontek.com,,,,,,,
Xenios Group,https://www.crunchbase.com/organization/xenios-group,11-50,"Asset Management, Blockchain, Information Technology",,,,,Private,,,,"Islington, Islington, United Kingdom",,,,Xenios Group is an information technology company that provides cleantech and green blockchain management services.,2019-01-01,year,Active,,,For Profit,https://xenioscoin.gr,https://twitter.com/xenios_group,https://www.facebook.com/xeniosgroup/,https://www.linkedin.com/company/xeniosgroup/,info@xenioscoin.com,+44 2039368709,,,"Xenios Group has created a massively scalable payment solution. Masternodes can verify transactions containing fewer than 2,000 XNC in nanoseconds, allowing the network to handle millions of micropayments with almost no fees. They offer supply chain, voting systems, legal services, energy, tourism, Defi, and many other areas are covered.",,,
XDEFI Wallet,https://www.crunchbase.com/organization/xdefi-wallet,11-50,Cryptocurrency,Series A,"Engineering, Operations",,,Private,,,,"London, England, United Kingdom",,,,"One wallet for all your crypto. Join more than 160,000 people that trust XDEFI Wallet!",2020-01-01,year,Active,,,,https://www.xdefi.io/,https://twitter.com/xdefi_wallet,,https://www.linkedin.com/company/xdefi-wallet/,,,,2,"One wallet for all your crypto. XDEFI is a non-custodial wallet that allows you to securely swap, store, and send NFTs and crypto across 17 blockchains. Join more than 160,000 people that trust XDEFI Wallet!",,,
XCOYNZ,https://www.crunchbase.com/organization/xcoynz,1-10,"Blockchain, Cryptocurrency, E-Commerce, Retail",,,,,Private,,,,"London, England, United Kingdom",,,,XCOYNZ provides a cryptocurrency exchange platform to buy and sell digital assets.,2018-01-01,day,Active,,,For Profit,https://www.xcoynz.com/,,https://www.facebook.com/XCOYNZ/,https://www.linkedin.com/company/xcoynz/,,,,,,,,
XCH4NGE,https://www.crunchbase.com/organization/xch4nge,11-50,"Cryptocurrency, Financial Exchanges, Financial Services, Information Technology, Internet",,,,,Private,,,,"London, England, United Kingdom",,,$1M to $10M,"The XCH4NGE P2P platform connects you to other verified users in our marketplace to buy, sell and store cryptocurrency.",2018-01-01,day,Active,,,For Profit,https://www.xch4nge.com/,https://twitter.com/XCH4NGE/,https://m.facebook.com/XCH4NGE/,https://www.linkedin.com/company/xch4nge,info@xch4nge.com,02079079152,,1,"XCH4NGE was established in the UK to allow our users to buy, sell, store and exchange cryptocurrency. We aim to provide a simple and secure way to enter the cryptocurrency markets with your fiat. The XCH4NGE P2P platform connects you to other verified users in our marketplace, while our industry-leading digital asset security and encryption keeps you safe. We offer 24/7 live (human) support with transparent benchmarks for response and resolution times so our users know what to expect. Our pricing structure is transparent and competitive, with no hidden fees. We also have no withdrawal or deposit maximum/minimum amounts, only those set by the respective blockchains. We work with a leading UK credit agency to perform KYC verification on all users, preventing fraud and money laundering. This removes the responsibility of checking identity from the user, saving busy sellers hours a day. Unlike competitors, our validation process only asks for your information once, after which it is encrypted and securely stored under the control of our compliance officer. This manages risk and removes discrimination for new users, meaning no extra time or scrutiny is necessary when you’re a new user. For anyone truly concerned with their data security, the choice is clear. Our platform has also been designed to cater to enhance usability, making it easy to use for newcomers who desperately need a user-centric experience, as well as the everyday user who just wants a reliable, secure, and simple platform focused on accommodating their needs. We’re planning for the long-term in our development, aiming to allow cryptocurrency users to eventually be able to use crypto in their daily lives as easily as we do with our fiat money. We are in the process of obtaining our e-money license, working to allow you to manage your fiat funds and crypto in one place. Our community of users is our main priority; as such, we will be listening carefully to build the best product for you. We love to hear your thoughts about new coin listings, platform features and more, which will help us shape the future of not only XCH4NGE but cryptocurrency in the UK and beyond. We make it easy to buy crypto in the UK , and we have so much more to share with our community over the next year – join us today, and be a part of the journey!",,,
Xcalibra,https://www.crunchbase.com/organization/xcalibra,1-10,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Trading Platform",,,,,Private,,,,"London, England, United Kingdom",,,Less than $1M,"Xcalibra is an online trading platform that specializes in cryptocurrencies, bitcoins, asset listings, and blockchain services.",2019-01-01,year,Active,,,For Profit,https://xcalibra.com/,https://twitter.com/tradexcalibra,https://www.facebook.com/Xcalibra-Exchange-103611601125595,https://www.linkedin.com/company/xcalibra-exchange/,contact@xcalibra.com,,,,,,,
XBTerminal,https://www.crunchbase.com/organization/xbterminal,1-10,"Bitcoin, Blockchain, Cryptocurrency, FinTech",Non-equity Assistance,,,,Private,,,,"London, England, United Kingdom",,,Less than $1M,"XBTerminal is the fast, simple and cost effective way for your business to start accepting bitcoin today.",2014-05-29,day,Active,,,For Profit,https://xbterminal.io/en/,https://www.twitter.com/xbterminal,https://www.facebook.com/xbterminal.io,https://www.linkedin.com/company-beta/5360862/,,+4402081238185,,,"XBTerminal is the fast, simple and cost effective way for your business to start accepting bitcoin today. Their unique and innovative solutions allow you accept Bitcoin in a safe and risk free way. You are in control of the payment process whether you want to keep the Bitcoins or receive local currency. Through their seamless payment gateway integration they can guarantee a local currency return back to your business bank account.",,,
Wuabit,https://www.crunchbase.com/organization/wuabit,1-10,"Bitcoin, Cryptocurrency, FinTech, Messaging",,,,,Private,,,,"London, England, United Kingdom",,,,Bitcoin and other cryptos within your favorite messaging app!,2018-07-01,day,Active,,,For Profit,https://wuabit.com/?utm_source=crunchbase,https://twitter.com/wuabit,https://facebook.com/wuabit,https://www.linkedin.com/company/wuabit/,info@wuabit.com,,,,The first WhatsApp chat bot that will allow consumers to get fast and easier into the crypto-economy by providing a wallet and more services.,,,
WRLD,https://www.crunchbase.com/organization/wrld,51-100,"3D Technology, Apps, Augmented Reality, Cryptocurrency, Internet of Things, Mapping Services, Smart Building, Smart Cities, Software, Virtual Reality",Venture - Series Unknown,,,,Private,,,,"London, England, United Kingdom",,,$10M to $50M,Building the Metaverse for Humanity,2015-08-01,month,Active,,,For Profit,https://www.wrld3d.com/,https://twitter.com/wrld3d,https://www.facebook.com/wrld3d/,https://www.linkedin.com/company/wrld3d/,enquiries@wrld3d.com,+441260281199,,37,"WRLD is a decentralized platform that brings together artists, creators, and developers to build intentional communities, prefigure the present, and imagine the future of the physical world. WRLD provides a platform for creators to experiment with their imaginative capacity and ideas without limits.  Since 2015 we have provided mapping technology to create immersive geospatial applications for connected buildings, smart cities, games and more. A range of custom, powerful solutions are built using our cloud-based platform at enterprise companies like IBM and Bloomberg, at small independent studios, and by virtual and augmented reality pioneers.  We have an ambitious goal to create a dynamic and inclusive metaverse of the entire world that anybody can use.",,,
WoTT.io,https://www.crunchbase.com/organization/wott-io,1-10,"Blockchain, Cyber Security, Internet of Things",,,,,Private,,,,"London, England, United Kingdom",,,,Plug and play security tools for IoT developers,2018-01-01,year,Active,,,For Profit,https://www.wott.io,,,https://www.linkedin.com/company/wottsecurity,contact@wott.io,,,,"WoTT is building the infrastructure for tomorrow’s connected devices.  WoTT is developing protocols and open-source software to decentralize identification and authentication - delivering the security needed to safely step into the future.  Vehicle to vehicle communication, smart factories and telemedicine are only the beginning of the applications that will be available when connectivity stretches into new devices.  In an interoperable future, where any device can ‘talk’ to any other, trust is a requirement.   ",,,
Work on Blockchain,https://www.crunchbase.com/organization/work-on-blockchain,1-10,"Blockchain, Recruiting, Service Industry",,,,,Private,,,,"London, England, United Kingdom",,,,Work on Blockchain is a hiring platform for technical professionals in the blockchain space.,2018-01-01,year,Active,,,For Profit,https://workonblockchain.com,https://twitter.com/work_blockchain,https://www.facebook.com/workblockchain/,https://www.linkedin.com/company/work-on-blockchain/,,,,,"Work on Blockchain has a growing community passionate about teaching public and enterprise blockchain software, smart contracts, security and blockchain applications. They provide a cost-effective solution for companies looking to hire technical professionals in the blockchain, DLT and cryptocurrency space.",,,
Wirex,https://www.crunchbase.com/organization/wirex-limited,251-500,"Apps, Blockchain, Cryptocurrency, Financial Services, FinTech, Personal Finance",Series B,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Pro Services, Product",,,Private,,,,"London, England, United Kingdom",,,,Wirex is a digital payment platform that aims to make crypto and traditional currencies equal and accessible to everyone.,2014-12-01,day,Active,,,For Profit,https://wirexapp.com,https://twitter.com/wirexapp,https://www.facebook.com/wirexapp/,https://www.linkedin.com/company/wirex-limited/,company@wirexapp.com,+1 855 500 0217,,142,"Wirex is a worldwide digital payment platform and regulated institution that has forged new rules in the digital payments space. In 2015, the firm developed the world’s first crypto-enabled payment card that gives users the ability to seamlessly spend crypto and traditional currencies in real life.  Wirex was created in 2014 by CEOs and co-founders Pavel Matveev and Dmitry Lazarichev, who identified the need to open up the esoteric world of cryptocurrencies and make digital money accessible for everyone. With the core aim of making it as easy as possible to use digital assets in everyday life, Wirex provides a trusted and cost-effective service for crypto and traditional currency transactions by incorporating the next generation of payments infrastructure integrated with cryptocurrency blockchains.  With over 5 million customers across 130 countries, the company offers secure accounts that allow customers to easily store, buy and exchange multiple currencies instantly at the best live rates on one centralised mobile app. Quick and simple crypto transfer options are available, as well as the freedom to spend 150+ traditional and cryptocurrencies in more than 80 million locations around the world using the Wirex card.  Wirex continues to develop the product in line with market developments, whilst adhering to regional regulations and securing appropriate licensing where it exists. A proven industry pioneer, Wirex launched their own native utility token, WXT, and introduced the world’s first crypto reward programme, Cryptoback™, which earns cardholders up to 8% back in WXT for every transaction they make.  To reflect the growth of the metaverse, throughout 2021, the company has expanded their product to enable mainstream access to DeFi. Starting with the launch of their popular X-Accounts feature, offering unprecedented levels of interest, Wirex has continued to add to their DeFi arsenal with the release of the non-custodial Wirex Wallet and a partnership with Nereus, a decentralised liquidity market.   Wirex is based in London, with offices in Singapore, Kyiv, Dallas, Dublin and Atlanta. With over $5bn worth of transactions processed already and rapid expansion into new territories, including the US, Wirex is uniquely placed to support and promote the mass adoption of a cashless society through creative solutions.",,,
Wintermute,https://www.crunchbase.com/organization/wintermute-trading,51-100,"Blockchain, Cryptocurrency, Financial Services",Series B,"Engineering, Finance, Management, Medical & Science, Operations, Sales",,58,Private,,,,"London, England, United Kingdom",,,$1M to $10M,Wintermute is a leading global algorithmic trading firm and one of the largest liquidity providers in digital asset markets.,2017-07-01,month,Active,,,For Profit,https://www.wintermute.com/,https://twitter.com/wintermute_t,,https://www.linkedin.com/company/wintermute-trading,partnerships@wintermute.com,,,14,"Wintermute is a leading global algorithmic trading firm and one of the largest players in digital asset markets. With an average daily trading volume of over $5bn, Wintermute facilitates OTC trading of 350+ tokens and provides liquidity across 80+ centralized and decentralized exchanges. Wintermute is an active player in the ecosystem, and invests in early stage DeFi projects, provides liquidity provisioning services for high profile blockchain projects, and overall supports builders of decentralized finance.",,,
Whalemap,https://www.crunchbase.com/organization/whalemap,1-10,"Analytics, Blockchain, Data Visualization, Predictive Analytics",Seed,,,,Private,,,,"London, England, United Kingdom",,,,Whalemap is a blockchain analytics company that uses data science to deliver actionable trading insights by looking at big market players.,2020-07-23,day,Active,,,For Profit,https://whalemap.io,https://twitter.com/whale_map,,https://www.linkedin.com/company/whalemap/,hello@whalemap.io,07594728404,,11,Whalemap is a blockchain analytics company that uses data science to deliver actionable trading insights by looking at big market players.,,,
weLOVE.education,https://www.crunchbase.com/organization/welove-education,1-10,"Blockchain, EdTech, Education, Virtual Reality",Angel,,,,Private,,,,"London, England, United Kingdom",,,Less than $1M,"Reinventing educational environment through integration of Educational Communities, Blockchain and Virtual Reality.",2017-01-01,day,Active,,,For Profit,https://welove.education,,,https://www.linkedin.com/company/welove.education/,company@welove.education,,,,"Using high-end technologies as Artificial Intelligence, Blockchain and Virtual Reality, we take an active role in supporting business and government to find new ways to train, retrain and certificate students and workers. By creating a virtual space where independent educators, business and government can collaborate by sharing knowledge online, we take the role to organize, deliver and certificate online learning. Our new educational framework that organizes knowledge through online educational communities, delivers with Virtual Reality and certificate on Blockchain network is: fast, affordable and sexy.",,,
WeBuy,https://www.crunchbase.com/organization/webuy,1-10,"Advertising Platforms, Blockchain, E-Commerce Platforms, Marketplace, Mobile Advertising, Mobile Apps, Retail",,,,,Private,,,,"London, England, United Kingdom",,,Less than $1M,On-demand Platform for Buyers and Sellers on the Blockchain,2017-12-01,day,Active,,,For Profit,https://wby.io,https://twitter.com/wby_io,https://www.facebook.com/wbyio,https://www.linkedin.com/company/wby/,info@wby.io,+442030514762,,10,"WeBuy is liberating the commercial exchange of values by rewarding Buyers for their participation in an ecosystem that has failed to recognized their importance until now. With WeBuy, Buyers get rewarded for their activity on the platform. They are invited to create and manage their own Virtual MarketPlace built with Sellers they referred to WeBuy. Their private information is never revealed to Sellers and/or 3rd parties, leaving them in complete control of their privacy. For Sellers, WeBuy enables them to geolocalize potential Buyers who have expressed their interest in the Seller’s products using our groundbreaking SellMe’ Feature and an intuitive advertising system that does not require previous Advertising knowledge to use. WeBuy services are 100% free and will stay free.",,,
