Organization Name,Organization Name URL,Number of Employees,Industries,Last Funding Type,Contact Job Departments,IPqwery - Patents Granted,Number of Investments,IPO Status,IPqwery - Total Patents,Closed Date,Closed Date Precision,Headquarters Location,Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Description,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Hub Tags,Number of Articles,Full Description,Actively Hiring,Announced Date,Announced Date Precision
3Blocks,https://www.crunchbase.com/organization/3blocks,1-10,"Blockchain, Cryptocurrency, Finance, Insurance, Property Management, Real Estate",Seed,,,,Private,,,,"Tampa, Florida, United States","Tampa Bay Area, East Coast, Southern US",,,"3Blocks provides real estate management, metaverse, and defi services.",2021-10-01,day,Active,,,For Profit,https://www.3blocks.io,https://twitter.com/3blocks_io,,https://www.linkedin.com/company/3blocks-io/?viewAsMember=true,siddu@3blocks.io,,,,"3Blocks provides prop-tech software products. They serve as a compliant bridge between real estate, the metaverse, and DeFi. They curate the vast tokenized real estate markets and provide data and defi services.",,,
3x4 art,https://www.crunchbase.com/organization/3x4art,1-10,"Art, Blockchain, Cryptocurrency, Social Entrepreneurship, Social Network",Angel,,,,Private,,,,"Denver, Colorado, United States","Greater Denver Area, Western US",,,3x4 is a web3 community-led philanthropy platform,2022-02-01,month,Active,,,For Profit,https://3x4.art/,,,https://www.linkedin.com/company/3x4-art/,admin@3x4.art,,,,"3x4 is an innovative altruistic platform at the intersection of art, technology and fundraising whereby we utilize NFT(C)s in collaboration with nonprofits, artists, and brands while providing utility & revenue to donors & collectors.  Our mission is to revolutionize philanthropy by providing a new way of engaging donors and NFT collectors, increasing fundraising efforts for worthy causes throughout the world and creating engaged communities that are passionate about the charities they support.",,,
4Ys Partners,https://www.crunchbase.com/organization/4ys-partners,1-10,"Blockchain, Consulting, Recruiting",,,,,Private,,,,"Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",,,"Hiring, Career Optimization, and Recruiting Advisory",2022-12-15,day,Active,,,For Profit,https://www.4yspartners.com/,,,https://www.linkedin.com/company/4yspartners,alex@4ysPartners.com,,,,"4Ys Partners was founded to solve the hiring challenges faced by modern technology companies. The idea for 4Ys came from deep experience recruiting for agencies, Fortune 50 companies, hypergrowth scaleups, and startups. Our three focus areas are helping startups hire great talent, helping founders build a scalable recruiting engine, and providing career optimization to motivated professionals. We plan to address the specific talent challenges that innovative companies face starting from their earliest stages.",,,
69Spacers,https://www.crunchbase.com/organization/69spacers,1-10,"Cryptocurrency, Finance, Gaming, Information Technology, Internet, Software",,,,,Private,,,,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",,,Crypto game and gaming platform.,2020-01-01,year,Active,,,For Profit,https://69Spacers.com,https://twitter.com/69Spacers,https://www.facebook.com/69Spacers/,https://www.linkedin.com/company/87157050/admin/,humboi@humboi.com,,,,"69Spacers is a crypto gaming project.  We are making a game where the players own the objects and the coin of the game, and developers build missions on it.  Our goals: - Release the 69Spacers character collection by the end of 2022. - Release the game on iOS and Android in 2023. - Release developer documentation for building missions on the game in 2023.",,,
7QUBES,https://www.crunchbase.com/organization/7qubes,1-10,"Blockchain, SaaS",,Management,,,Private,,,,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Women Founded,,7Qubes is a saas company.,2017-05-03,day,Active,,,For Profit,https://www.7qubes.com,http://www.twitter.com/7qubes,https://www.facebook.com/7QUBES,http://www.linkedin.com/7qubes,contact@7qubes.com,,,,7Qubes is a saas company that provides an ecosystem for small businesses with tools that will streamline their business processes and a support network that provides a community of experts at their disposal. It provides a business management platform tailored for small businesses giving them the opportunity to connect and grow in a close-knit community.,,,
7RCC Global,https://www.crunchbase.com/organization/7rcc-global,1-10,"Blockchain, Information Technology",,,,,Private,,,,"Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",,,7RCC Global provides ESG investors with access to Blockchain and Digital Asset investments through ETFs and other structured products.,2017-01-01,year,Active,,,,http://7ccinvest.com/,https://twitter.com/7CCInvest,https://www.facebook.com/7ccinvest,https://www.linkedin.com/company/7ccinvest,,,,,,,,
A-Ads,https://www.crunchbase.com/organization/anonymousads,1-10,"Ad Network, Advertising, Bitcoin, Identity Management",,,,,Private,,,,"Anguilla, Mississippi, United States",Southern US,,$1M to $10M,Bitcoin advertising network,2011-09-10,day,Active,,,For Profit,http://a-ads.com,https://twitter.com/aads_network,,,contact@a-ads.com,,,,"AnonymousAds is a transparent advertising network that utilizes a ""pay for chance to be shown and reward for sales"" to diminish incentive for fake clicks. It uses only bitcoin for its accounting and doesn’t require user registration.",,,
A100x Ventures,https://www.crunchbase.com/organization/a100x,1-10,"Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital",,,,13.0,Private,,,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Women Led,,A100x is a blockchain focused Venture Capital Firm.,2020-04-01,month,Active,,,,https://www.a100x.com,https://www.twitter.com/amoilsnisa,,https://www.linkedin.com/in/nisaamoils,nisa@a100x.com,,,3,A100x invests in early-stage companies utilizing blockchain and artificial intelligence to build the next wave of internet applications in Web 3 both for consumers and the enterprise.,,,
A2B Gagdets Corp,https://www.crunchbase.com/organization/ta-edison-sas,1-10,"Blockchain, Consumer Electronics, Hardware",Pre-Seed,,,,Private,,,,"Strongsville, Ohio, United States","Great Lakes, Midwestern US",,,"A2B Gadgets presents, HELMY, the only comprehensive motorcycle safety platform",2022-01-15,day,Active,,,For Profit,https://helmymoto.com/,,https://www.facebook.com/HelmyEd,https://www.linkedin.com/company/a2bgadgets/?viewAsMember=true,info@helmymoto.com,8605971388,,6,"Helmy is a product comprised of two devices. Helmy-C is a device attached to the safety helmet as an intercom, and then Helmy-M is connected to the motorbike’s ignition system. Both are set up through a mobile APP called Helmy App. Our product integrates the latest in IoT, Bluetooth, Embedded Systems, and microcomponents.",,,
ABE Global,https://www.crunchbase.com/organization/abe-global,1-10,"Blockchain, Stock Exchanges, Trading Platform",Seed,"Management, Operations",,,Private,,,,"Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",,$1M to $10M,"ABE, ""a better exchange"", is a global securities exchange.",2018-03-01,month,Active,,,For Profit,https://abe.io/,https://twitter.com/abe_io,,https://www.linkedin.com/company/abe-global/,,,,1,"ABE Global is an exchange platform for 24/7asset trading. It operates in Europe, North America, and Asia. ABE will provide access and liquidity to issuers and investors by using the performance of a traditional securities exchange and the flexibility of DLT (distributed ledger technology). Led by an experienced team of financial products and system experts — John Pigott (BondPoint), Joel Blom (Thinkorswim, Inc.), and Roderick Psaila (AgriBank PLC) — ABE will maximize market accessibility and democratize capital for more efficient financial products.",,,
ABRAXAS DAO,https://www.crunchbase.com/organization/abraxas-dao,1-10,"Blockchain, Comics, Cryptocurrency, Digital Entertainment, Online Games",Seed,,0.0,,Private,0.0,,,"Albuquerque, New Mexico, United States",Western US,,,BUILDING THE FUTURE IN WEB3!,2021-11-01,month,Active,,,,https://abraxasdao.com,https://twitter.com/abraxas_dao,https://www.facebook.com/abraxasdao,https://www.linkedin.com/company/abraxas-llc/,abraxasdao@gmail.com,,,4,"Abraxas is a Web3 Entertainment Company focusing on Comics, NFT Games and Unique Digital Experiences!",,,
Abridged,https://www.crunchbase.com/organization/abridged,1-10,"Blockchain, Information Technology, Software, Web Development",Seed,Management,,,Private,,,,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",,,Abridged provides tools that allows developers to build applications using blockchain technology.,2019-01-01,year,Active,,,For Profit,https://abridged.io/,https://twitter.com/abridged_io,https://web.facebook.com/Abridged.io,https://www.linkedin.com/company/abridged-io,info@abridged.io,510-501-0964,,,"Abridged provides tools that allow developers to build applications using blockchain technology. The company was founded in 2019 by James Young and Raymond Feng and is headquartered in Los Angeles, California, United States.",,,
Abstract Tokenization,https://www.crunchbase.com/organization/abstract-tokenization,1-10,"Blockchain, Financial Services, Real Estate",Seed,"Management, Operations",,,Private,,,,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Women Founded,,"Abstract Tokenization is developing an end-to-end digital security creation, issuance, and servicing platform",2018-07-01,month,Active,,,For Profit,https://www.abstracttokenization.com,https://twitter.com/abstracttoken,https://www.facebook.com/AbstractTokenization/,https://www.linkedin.com/company/abstract-tokenization/,info@abstracttokenization.com,408.306.1405,,,"Abstract Tokenization is a financial technology company that develops an end-to-end digital security creation, issuance, and servicing platform for commercial real estate sponsors and investors that operate with smart contracts and distributed ledger blockchain technology to convert traditionally illiquid real estate ownership into tradeable digital securities, enhancing liquidity. The company additionally plans to build a secondary trading platform (ATS) for real estate backed digital securities.",,,
Abyiss,https://www.crunchbase.com/organization/abyiss,1-10,"Cryptocurrency, Finance, Internet",,Management,,,Private,,,,"Providence, Rhode Island, United States","East Coast, New England, Northeastern US",,,Abyiss is an equal opportunity workplace dedicated to diversity and inclusion.,2020-01-01,year,Active,,,For Profit,https://abyiss.com/,https://www.twitter.com/AbyissTweets,https://www.facebook.com/AbyissFB,https://www.linkedin.com/company/abyiss/,contact@abyiss.com,,,,,,,
AccuChain Inc.,https://www.crunchbase.com/organization/accuchain-inc,1-10,"B2B, B2C, Blockchain, Human Resources, Software",Venture - Series Unknown,"Management, Operations",,,Private,,,,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Women Founded,,Accuchain is an HR Tech company. The future of hiring.,2019-10-27,day,Active,,,For Profit,https://www.accuchain.com/,https://twitter.com/AccuChain,https://www.facebook.com/accuchain/,https://www.linkedin.com/company/accuchain/,maura@accuchain.com,415-894-2188,,3,"AccuChain is an HR Tech company spearheading the Future of Hiring.  We are changing the way Job Seekers & Companies connect in the real world and in the metaverse  In 2021, we launched Validator: the first resume builder with built-in validation.  Hiring managers know that false information on resumes can lead to a bad hire. Validator allows job seekers to show proof of their resume claims, leaving hiring managers with no doubt that they’re the one.  We are now expanding Validator into the metaverse. Creating a global career network based on trust. Allowing jobseekers to create their own personal profile that can be minted as an NFT for the HYRverse job board.",,,
Aclaro,https://www.crunchbase.com/organization/aclaro-inc,1-10,"Analytics, Big Data, Blockchain, FinTech, Information Technology, Marketing, Software",Seed,"Management, Marketing, Operations",,,Private,,,,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",,,"Predictive Analytics, Block Chain, Fin Tech, Health Tech",2018-01-31,day,Active,,,For Profit,https://www.aclaro.io,https://twitter.com/aclaro_io,https://www.facebook.com/Aclaro-1870194419945152/,https://www.linkedin.com/company/aclaro-io/,carlos.galarce@aclaro.io,1-833-2ACLARO,,,"Aclaró is a technology company that allows businesses unleash the power of their data. Using blockchain technology, Aclaró can record transactions between two parties accurately, efficiently and verifiably.   Big data is an essential tool for businesses of all sizes. With Aclaró Data Analytics platform you can use your data effectively, helping turn a small project into a growing success story. Aclaró platform provides the space where Data Source Providers, Information Creators, and Information Construct Licensees interact efficiently.  Our platform also allows smaller businesses and independent merchants to take advantage of many of the same data-driven approaches to sales and marketing as multinational retailing giants with a small investment. We use blockchain technology to guarantee the integrity of merchant transaction data while ensuring that only specific, purchased data is accessible to data analysts.  ",,,
Acquire,https://www.crunchbase.com/organization/acquire-9877,1-10,"Blockchain, Financial Services, Media and Entertainment",,Management,,,Private,,,,"Nashville, Tennessee, United States",Southern US,,,Acquire develops a blockchain technology platform that allows users to invest in entertainment assets.,2018-01-01,year,Active,,,,https://acquireinvest.com/,,,https://www.linkedin.com/company/studio-coin/,,(423) 503-9212,,,"Acquire develops a blockchain technology platform that allows users to invest in entertainment assets. Acquire's platform is an investment service for entertainment crowd capital with programable, distributed, and tradeable ownership, bringing liquidity and opportunity to Illiquid investments through a platform suite of easy-to-use, full-featured, user, and studio tools.",,,
ADAM MALIK 1989,https://www.crunchbase.com/organization/adam-malik-1989,1-10,"Blockchain, Fashion, Financial Services, FinTech, Information Technology, Jewelry, Marketing, Trading Platform",Pre-Seed,,,,Private,,,,"Beverly Hills, California, United States","Greater Los Angeles Area, West Coast, Western US",,,Holding,2020-01-22,day,Active,,,For Profit,https://adammalik1989.com,,https://web.facebook.com/adammalik1989,https://www.linkedin.com/company/adammalik1989llc/,cs.care@adammalik1989.com,( +1 ) 424 6533 202,,,"We Build More Portfolios, to Make Prosperity Like this world, our vision is to build investation Portfolio with using Ethereum Blockchain. with the motto Two Sides of Live.",,,
Adamnite,https://www.crunchbase.com/organization/adamnite,1-10,"Blockchain, Information Technology, Software",,,,,Private,,,,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",,,"Adamnite Labs is creating a Adamnite, a new layer-1 blockchain designed to make it easier for developers to create scalable applications.",2022-04-01,month,Active,,,For Profit,https://adamnite.org/,https://twitter.com/adamnitehq,,https://www.linkedin.com/company/adamnite/,,+4044566465,,,"Adamnite Labs is a blockchain startup leading the development of Adamnite, a new layer-1 blockchain development platform geared toward allowing developers who are not that deep into Web3 to easily build scalable decentralized applications and smart contracts. Adamnite Labs is also building products that will users participating in and using cryptocurrency-based technologies to be easily onboarded without having to be familiar with the underlying technology.",,,
AdLedger,https://www.crunchbase.com/organization/adledger,1-10,"Blockchain, Digital Media, Marketing, Software",,,,,Private,,,,"New City, New York, United States","Greater New York Area, East Coast, Northeastern US",,Less than $1M,The AdLedger consortium implements global standards and solutions to utilize the value of blockchain technology in digital media.,2017-01-01,year,Active,,,Non-profit,https://adledger.org,https://twitter.com/adledgerorg,,https://www.linkedin.com/company/adledger,privacyofficer@adledger.org,,,,AdLedger is a consortium that develops standards for the application of blockchains and cryptography in digital media. AdLedger is a global leader in building industry standards and technologies related to blockchain technology in digital media.,,,
AdNode,https://www.crunchbase.com/organization/adnode-6747,1-10,"Advertising, Blockchain, Cryptocurrency, Mobile Payments",Seed,"Engineering, Management, Operations",,,Private,,,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,AdNode brings accountability to digital advertising by driving reconciliation and transparency with blockchain.,2018-05-01,month,Active,,,For Profit,https://www.adnode.io,https://twitter.com/adnode_io,,https://www.linkedin.com/company/adnode/,,,,,AdNode brings accountability to digital advertising by driving reconciliation and transparency with blockchain. The company was founded in 2018 and is headquartered in New York.,,,
Adosia,https://www.crunchbase.com/organization/adosia,1-10,"Blockchain, Computer, Information Technology",,"Management, Marketing, Medical & Science",,,Private,,,,"Raleigh, North Carolina, United States","Research Triangle, East Coast, Southern US",,$1M to $10M,IoT Blockchain Initiative,2010-04-09,day,Active,,,For Profit,https://adosia.com,https://twitter.com/adosiaio,https://www.facebook.com/adosiatech/,https://www.linkedin.com/company/adosia,admin@adosia.com,,,,Adosia is an IoT Blockchain company with working prototypes.  Hardware available at https://adosia.io,,,
Aeonic Digital Assets,https://www.crunchbase.com/organization/aeonic-digital-assets,1-10,"Blockchain, Finance, Financial Services",,,,,Private,,,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,Aeonic Digital Assets is a financial services company that tokenizes and harmonizes the world’s alternative and traditional asset classes.,2015-01-01,year,Active,,,For Profit,https://aeonic.digital,,,https://www.linkedin.com/company/aeonic-digital-assets,info@yourmail.com,+13 4545 5657,,,"Aeonic Digital Assets is a financial services company that tokenizes and harmonizes the world’s alternative and traditional asset classes. It was founded in 2015 and is located in New York, New York.",,,
AerLink,https://www.crunchbase.com/organization/aerlink,1-10,"Aerospace, Air Transportation, Blockchain, FinTech",Debt Financing,,,,Private,,,,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",,,AerLink develops Blockchain-based digital transformation solutions for the aviation financing sector.,2019-01-01,year,Active,,,For Profit,http://aerlinkco.com/,,,https://www.linkedin.com/company/aerlink-ltd/about/,,,,1,"AerLink develops Blockchain-based digital transformation solutions for the aviation financing sector. The company was founded in 2019 and based in Seattle, Washington.",,,
Aesthetic,https://www.crunchbase.com/organization/plato-design,1-10,"Blockchain, Cryptocurrency, Marketing Automation, Software",Pre-Seed,Management,,,Private,,,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,"Aesthetic is an e-commerce platform that enables NFT creators to create free and paid drops, and share content with token-holders.",2018-06-04,day,Active,,,For Profit,https://www.aesthetic.com,https://twitter.com/useaesthetic,https://www.facebook.com/UseAesthetic,https://www.linkedin.com/company/useaesthetic/about/,success@aesthetic.com,,,3,"Aesthetic's mission is to make the world more well designed by giving every business creative superpowers. To do this, we're automating all the production design work needed by companies, starting with social media graphics. Social media is an important marketing channel for businesses, but creating quality content is hard. Our product creates the social marketing posts your brand needs without doing any design work.",,,
Afropolitan,https://www.crunchbase.com/organization/afropolitan-6833,1-10,"Blockchain, Communities, Cryptocurrency",Pre-Seed,,,,Private,,,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,Afropolitan is creating a Digital Nation to enable all Africans to build abundant lives. (A Network State),2022-02-01,month,Active,,,For Profit,https://www.afropolitan.io/,https://twitter.com/afropolitan,https://www.facebook.com/Afropolitangroup,https://www.linkedin.com/company/afropolitannation/,info@afropolitan.io,,,4,"Afropolitan is creating a Digital Nation to enable all Africans to build abundant lives. The internet enables people to organize around shared values at scales that were previously unthinkable before the turn of the century. If it were a country, Facebook would be the largest one in the world. With the advent of cryptocurrency, the next Facebook will not be a social network with a passive online community, but rather a full-blown digital country with its own native currency and shared purpose. We are building the first-ever internet country.",,,
Aggieland Software,https://www.crunchbase.com/organization/aggieland-software,1-10,"Artificial Intelligence, Blockchain, Consulting, Mobile Apps, Software",,Management,,,Private,,,,"Springfield, Missouri, United States",Midwestern US,,$1M to $10M,"Aggieland Software is an IT company that deals with project management, web and mobile app development, AI and block chain technology.",2017-01-01,year,Active,,,For Profit,http://www.aggielandsoftware.com,https://twitter.com/aggielandsoftwa?lang=en,https://www.facebook.com/AggielandSoftwareInc/,https://www.linkedin.com/company/aggielandsoftwareinc/,info@aggielandsoftware.com,+1 224 601 5241,,,,,,
